name,boxoffice,doubanscore,type,duration,showtime,director,star1,index1,star2,index2
叶问3,77060.44,6.4,动作,105,2016/3/4,叶伟信,甄子丹,11385,张晋,4105
美人鱼,338583.26,6.9,喜剧,93,2016/2/8,周星驰,邓超,41310,林允,9292
女汉子真爱公式,6184.45,4.5,喜剧,93,2016/3/18,郭大雷,赵丽颖,181979,张翰,44277
西游记之孙悟空三打白骨精,119956.51,5.7,喜剧,120,2016/2/8,郑保瑞,郭富城,12227,巩俐,8546
澳门风云三,111693.89,4.0,喜剧,112,2016/2/8,王晶,周润发,16731,刘德华,30277
功夫熊猫3,99832.53,7.7,喜剧,95,2016/1/29,吕寅荣,杰克布莱克,178,安吉丽娜朱莉,1540
北京遇上西雅图之不二情书,78341.38,6.5,喜剧,131,2016/4/29,薛晓路,汤唯,13499,吴秀波,77260
谁的青春不迷茫,17798.89,6.4,爱情,108,2016/4/22,姚婷婷,白敬亭,14759,郭姝彤,755
睡在我上铺的兄弟,12561.55,5.0,爱情,95,2016/4/1,张琦,陈晓,13251,秦岚,9549
冰河追凶,4262.14,5.6,动作,102,2016/4/15,徐伟,梁家辉,6911,佟大为,5614
梦想合伙人,8058.15,3.8,剧情,101,2016/4/29,张太维,姚晨,7315,唐嫣,66756
我的新野蛮女友,3336.83,3.4,喜剧,107,2016/4/22,赵根植,宋茜,81163,车太贤,1789
刑警兄弟,3005.96,5.2,喜剧,97,2016/4/22,戚家基,黄宗泽,9823,金刚,4010
大唐玄奘,3271.44,5.1,剧情,90,2016/4/29,霍建起,黄晓明,32595,徐峥,10318
我的特工爷爷,32009.37,5.3,动作,99,2016/4/1,洪金宝,洪金宝,9148,刘德华,30277
火锅英雄,36624.84,7.3,犯罪,95,2016/4/1,杨庆,陈坤,5763,白百何,10585
百鸟朝凤,8686.14,8.0,剧情,108,2016/5/6,吴天明,陶泽如,1139,李岷城,3290
夜孔雀,3260.42,4.7,爱情,84,2016/5/20,戴思杰,刘亦菲,58355,刘烨,11248
钢刀,924.86,4.3,动作,94,2016/5/20,阿甘,何润东,11822,李学东,521
